City;Airport Code;Level 3;Level 2
Stockholm-Arlanda;ARN;Yes;
Stockholm-Bromma;BMA;Yes;
Visby Airport Swedavia;VBY;;Yes
Geneva;GVA;Yes;
Zurich;ZRH;Yes;
Ankara;ESB;;Yes
Antalya;AYT;Yes;
Bodrum;BJV;;Yes
Dalaman;DLM;;Yes
Istanbul;IST;Yes;
Istanbul Sabiha Gökçen;SAW;Yes;
Izmir;ADB;;Yes
Kyiv;KBP;Yes;
Zhuliany;IEV;;Yes
Aberdeen;ABZ;;Yes
Belfast- Belfast City;BHD;;Yes
Belfast- Belfast International;BFS;;Yes
Birmingham;BHX;;Yes
Bristol;BRS;;Yes
East Midlands;EMA;;Yes
Edinburgh;EDI;;Yes
Glasgow;GLA;;Yes
Leeds Bradford;LBA;;Yes
Liverpool;LPL;;Yes
London-City;LCY;Yes;
London-Gatwick;LGW;Yes;
London-Heathrow;LHR;Yes;
London-Luton;LTN;Yes;
Manchester;MAN;Yes;
Newcastle;NCL;;Yes
Southampton;SOU;;Yes
Stansted;STN;Yes;
Bahrain;BAH;;Yes
Accra;ACC;Yes;
Kuwait;KWI;;Yes
Mauritius;MRU;Yes;
Casablanca;CMN;Yes;
Rabat Salé;RBA;Yes;
Doha;DOH;;Yes
Aeroporto Internacional Amilcar Cabral;SID;;Yes
Aeroporto Internacional Nelson Mandela;RAI;;Yes
Aeroporto Internacional Aristides Pereira;BVC;;Yes
Jeddah;JED;Yes;
Riyadh;RUH;;Yes
Medina;MED;;Yes
Seychelles;SEZ;;Yes
Cape Town;CPT;Yes;
Durban;DUR;Yes;
Johannesburg;JNB;Yes;
Muscat International;MCT;;Yes
Monastir;MIR;;Yes
Tunis-Carthage;TUN;Yes;
Abu Dhabi;AUH;;Yes
Dubai;DXB;Yes;
Dubai Al Maktoum;DW C;;Yes
Beijing;PEK;Yes;
Chengdu Shuangliu;CTU;Yes;
Chongqing Jiangbei;CKG;Yes;
Dalian Zhoushuizi;DLC;Yes;
Guangzhou;CAN;Yes;
Hangzhou Xiaoshan;HGH;Yes;
Kunming Wujiaba;KMG;Yes;
Shanghai;PVG;Yes;
Shenzhen Baoan;SZX;Yes;
Tianjin Binhai;TSN;Yes;
Xi’an Xianyang;XIY;Yes;
Kaohsiung;KHH;;Yes
Taipei;TPE;Yes;
Hong Kong;HKG;Yes;
Macau;MFM;;Yes
Bermuda;BDA;;Yes
Aeroporto Internacional De Brasília;BSB;Yes;
Aeroporto Internacional Tancredo Neves;CNF;Yes;
Aeroporto Internacional Tom Jobim – Galeão;GIG;Yes;
Sao Paulo-Guarulhos;GRU;Yes;
Aeroporto Internacional De Campinas - Virac;VCP;Yes;
Calgary;YYC;;Yes
Montreal;YUL;;Yes
Quebec;YQB;;Yes
Toronto;YYZ;Yes;
Vancouver;YVR;Yes;
Bogota;BOG;Yes;
Havana;HAV;Yes;
Varadero;VRA;Yes;
Santa Clara;SNU;;Yes
Holguin;HOG;;Yes
Mexico City;MEX;Yes;
Providenciales International Airport;PLS;;Yes
Chicago-O' Hare;ORD;;Yes
Los Angeles;LAX;;Yes
New York-J.F. Kennedy;JFK;Yes;
Newark;EWR;Yes;
Orlando;MCO;;Yes
San Francisco;SFO;;Yes
